name,type,base_target,light,dark
system/fixed_color/outline/default-50a,COLOR,base/color/dark/white-50a,#FFFFFF0D,#FFFFFF0D
system/fixed_color/outline/default-100a,COLOR,base/color/dark/white-100a,#FFFFFF1A,#FFFFFF1A
system/fixed_color/outline/default-200a,COLOR,base/color/dark/white-200a,#FFFFFF33,#FFFFFF33
system/fixed_color/outline/default-300a,COLOR,base/color/dark/white-300a,#FFFFFF4D,#FFFFFF4D
system/fixed_color/outline/default-reverse-50a,COLOR,base/color/dark/black-50a,#0000000A,#0000000A
system/fixed_color/divide/default-reverse-100a,COLOR,base/color/dark/black-100a,#0000001A,#0000001A
system/fixed_color/divide/default-reverse-200a,COLOR,base/color/dark/black-200a,#00000033,#00000033
system/fixed_color/divide/default-reverse-300a,COLOR,base/color/dark/black-300a,#0000004D,#0000004D
system/fixed_color/outline/default-reverse-100a,COLOR,base/color/dark/black-100a,#0000001A,#0000001A
system/fixed_color/outline/default-reverse-200a,COLOR,base/color/dark/black-200a,#00000033,#00000033
system/fixed_color/outline/default-reverse-300a,COLOR,base/color/dark/black-300a,#0000004D,#0000004D
system/size/padding/box/0,FLOAT,base/size/0,0,0
system/size/padding/box/25,FLOAT,base/size/25,2,2
system/size/padding/box/50,FLOAT,base/size/50,4,4
system/size/padding/box/75,FLOAT,base/size/75,6,6
system/size/padding/box/100,FLOAT,base/size/100,8,8
system/size/padding/box/150,FLOAT,base/size/150,12,12
system/size/padding/box/200,FLOAT,base/size/200,16,16
system/size/padding/box/250,FLOAT,base/size/250,20,20
system/size/padding/box/300,FLOAT,base/size/300,24,24
system/size/padding/box/350,FLOAT,base/size/350,28,28
system/size/padding/box/400,FLOAT,base/size/400,32,32
system/size/padding/box/500,FLOAT,base/size/500,40,40
system/size/padding/box/600,FLOAT,base/size/600,48,48
system/size/padding/box/700,FLOAT,base/size/700,56,56
system/size/padding/box/800,FLOAT,base/size/800,64,64
system/size/padding/box/900,FLOAT,base/size/900,72,72
system/size/padding/box/1000,FLOAT,base/size/1000,80,80
system/size/padding/thumb/0,FLOAT,base/size/0,0,0
system/size/padding/thumb/25,FLOAT,base/size/25,2,2
system/size/padding/thumb/50,FLOAT,base/size/50,4,4
system/size/padding/thumb/100,FLOAT,base/size/100,8,8
system/size/padding/thumb/250,FLOAT,base/size/250,20,20
system/size/padding/thumb/300,FLOAT,base/size/300,24,24
system/size/padding/thumb/350,FLOAT,base/size/350,28,28
system/size/margin/screen/0,FLOAT,base/size/0,0,0
system/size/margin/screen/125,FLOAT,base/size/125,10,10
system/size/margin/screen/200,FLOAT,base/size/200,16,16
system/size/margin/screen/250,FLOAT,base/size/250,20,20
system/size/radius/box/0,FLOAT,base/size/0,0,0
system/size/icon/72mquad,FLOAT,base/size/900,72,72
system/size/radius/box/25,FLOAT,base/size/25,2,2
system/size/radius/box/50,FLOAT,base/size/50,4,4
system/size/icon/64mquad,FLOAT,base/size/800,64,64
system/size/icon/56mquad,FLOAT,base/size/700,56,56
system/size/icon/48mquad,FLOAT,base/size/600,48,48
system/size/icon/40mquad,FLOAT,base/size/500,40,40
system/size/radius/box/75,FLOAT,base/size/75,6,6
system/size/icon/32mquad,FLOAT,base/size/400,32,32
system/size/icon/24mquad,FLOAT,base/size/300,24,24
system/size/icon/24nquad,FLOAT,base/size/150,12,12
system/size/icon/20mquad,FLOAT,base/size/250,20,20
system/size/icon/20nquad,FLOAT,base/size/125,10,10
system/size/icon/16mquad,FLOAT,base/size/200,16,16
system/size/icon/16nquad,FLOAT,base/size/100,8,8
system/size/icon/12mquad,FLOAT,base/size/150,12,12
system/size/icon/12nquad,FLOAT,base/size/75,6,6
system/size/radius/box/100,FLOAT,base/size/100,8,8
system/size/radius/box/150,FLOAT,base/size/150,12,12
system/size/radius/box/200,FLOAT,base/size/200,16,16
system/size/radius/box/250,FLOAT,base/size/250,20,20
system/size/radius/box/300,FLOAT,base/size/300,24,24
system/size/radius/thumb/150,FLOAT,base/size/150,12,12
system/size/radius/thumb/200,FLOAT,base/size/200,16,16
system/size/radius/thumb/250,FLOAT,base/size/250,20,20
system/size/icon/10nquad,FLOAT,base/size/65,5,5
system/size/button-height/xxlarge,FLOAT,base/size/700,56,56
system/size/button-height/xlarge,FLOAT,base/size/650,52,52
system/size/button-height/large,FLOAT,base/size/550,44,44
system/size/button-height/medium,FLOAT,base/size/500,40,40
system/size/button-height/small,FLOAT,base/size/450,36,36
system/size/button-height/xsmall,FLOAT,base/size/400,32,32
system/size/button-height/xxsmall,FLOAT,base/size/300,24,24
system/color/roles/brand-navy-900,COLOR,base/color/light/navy-900,#010021,#010021
system/color/roles/brand-navy-700,COLOR,base/color/light/navy-700,#02027B,#02027B
system/color/roles/brand-gra-purple,COLOR,base/color/light/brand-purple,#E7A2FF,#E7A2FF
system/color/roles/brand-gra-light-green,COLOR,base/color/light/brand-light-green,#2BF79D,#2BF79D
system/color/roles/brand-gra-sky-blue,COLOR,base/color/light/brand-sky-blue,#3CCCFF,#3CCCFF
system/color/roles/membership-summer-blue,COLOR,base/color/light/brand-summer-blue,#2ABCFF,#2ABCFF
system/color/roles/membership-cornflower-blue,COLOR,base/color/light/brand-cornflower-blue,#36A3DF,#36A3DF
system/color/roles/membership-violet,COLOR,base/color/light/brand-violet,#9C36FF,#9C36FF
system/color/roles/membership-lavender,COLOR,base/color/light/brand-lavender,#A74EFF,#A74EFF
system/color/roles/membership-daisy-yellow,COLOR,base/color/light/brand-daisy-yellow,#E9EF47,#E9EF47
system/color/roles/membership-spring-green,COLOR,base/color/light/brand-light-spring-green,#01C577,#01C577
system/color/roles/membership-malachite-green,COLOR,base/color/light/brand-malachite-green,#1BBD49,#1BBD49
system/color/roles/jelly-yellow,COLOR,base/color/light/brand-yellow,#FFD917,#FFD917
system/color/roles/jelly-orange,COLOR,base/color/light/brand-orange,#FF9800,#FF9800
system/color/button/default,COLOR,base/color/light/mint-500,#00CBD5,#01D5DF
system/color/button/black,COLOR,base/color/light/black,#000000,#FFFFFF
system/color/button/outlined_gray,COLOR,base/color/light/gray-200,#DEDEDE,#333333
system/color/button/hover,COLOR,base/color/light/black-50a,#0000000A,#FFFFFF0D
system/color/button/disabled,COLOR,base/color/light/black-100a,#0000001A,#FFFFFF1A
system/fixed_color/button/default,COLOR,base/color/dark/mint-500,#01D5DF,#01D5DF
system/fixed_color/button/white,COLOR,base/color/dark/white,#FFFFFF,#FFFFFF
system/fixed_color/button/black,COLOR,base/color/dark/black,#000000,#000000
system/fixed_color/button/outlined_gray,COLOR,base/color/dark/gray-200,#333333,#333333
system/fixed_color/button/hover,COLOR,base/color/dark/white-50a,#FFFFFF0D,#FFFFFF0D
system/fixed_color/button/disabled,COLOR,base/color/dark/white-100a,#FFFFFF1A,#FFFFFF1A
