name,type,base_target,light,dark
system/color/icon/gray-400,COLOR,base/color/light/gray-400,#AEAEAE,#555555
system/color/icon/gray-500,COLOR,base/color/light/gray-500,#8E8E8E,#777777
system/color/icon/gray-600,COLOR,base/color/light/gray-600,#666666,#999999
system/color/icon/gray-700,COLOR,base/color/light/gray-700,#484848,#BBBBBB
system/color/icon/gray-800,COLOR,base/color/light/gray-800,#282828,#DDDDDD
system/color/icon/gray-900,COLOR,base/color/light/gray-900,#111111,#F4F4F4
system/color/icon/100a,COLOR,base/color/light/black-100a,#0000001A,#FFFFFF1A
system/color/icon/200a,COLOR,base/color/light/black-200a,#00000033,#FFFFFF33
system/color/icon/200a-2,COLOR,base/color/light/black-200a,#00000033,#FFFFFF1A
system/color/icon/300a,COLOR,base/color/light/black-300a,#0000004D,#FFFFFF4D
system/color/icon/400a,COLOR,base/color/light/black-400a,#00000080,#FFFFFF80
system/color/icon/500a,COLOR,base/color/light/black-500a,#000000A6,#FFFFFFA6
system/color/icon/600a,COLOR,base/color/light/black-600a,#000000CC,#FFFFFFCC
system/color/icon/700a,COLOR,base/color/light/black-700a,#000000E5,#FFFFFFE5
system/color/icon/black-same,COLOR,base/color/light/black,#000000,#000000
system/color/icon/black-200a-same,COLOR,base/color/light/black-200a,#00000033,#00000033
system/color/icon/black-400a-same,COLOR,base/color/light/black-400a,#00000080,#00000080
system/color/icon/black-500a-same,COLOR,base/color/light/black-500a,#000000A6,#000000A6
system/color/icon/black-600a-same,COLOR,base/color/light/black-600a,#000000CC,#000000CC
system/color/icon/white-same,COLOR,base/color/light/white,#FFFFFF,#FFFFFF
system/color/icon/white-300a-same,COLOR,base/color/light/white-300a,#FFFFFF4D,#FFFFFF4D
system/color/icon/white-400a-same,COLOR,base/color/light/white-400a,#FFFFFF80,#FFFFFF80
system/color/icon/white-500a-same,COLOR,base/color/light/white-500a,#FFFFFFA6,#FFFFFFA6
system/color/icon/white-600a-same,COLOR,base/color/light/white-600a,#FFFFFFCC,#FFFFFFCC
system/color/text/primary,COLOR,base/color/light/mint-600,#00B8C1,#01D5DF
system/color/text/red-accent,COLOR,base/color/light/red-point,#FF1744,#FF1744
system/color/text/default,COLOR,base/color/light/black,#000000,#FFFFFF
system/color/text/default-reverse,COLOR,base/color/light/white,#FFFFFF,#000000
system/color/text/gray-100,COLOR,base/color/light/gray-100,#EEEEEE,#282828
system/color/text/gray-300,COLOR,base/color/light/gray-300,#CCCCCC,#3E3E3E
system/color/text/gray-400,COLOR,base/color/light/gray-400,#AEAEAE,#555555
system/color/text/gray-500,COLOR,base/color/light/gray-500,#8E8E8E,#777777
system/color/text/gray-600,COLOR,base/color/light/gray-600,#666666,#999999
system/color/text/gray-700,COLOR,base/color/light/gray-700,#484848,#BBBBBB
system/color/text/gray-800,COLOR,base/color/light/gray-800,#282828,#DDDDDD
system/color/text/gray-900,COLOR,base/color/light/gray-900,#111111,#DDDDDD
system/color/text/100a,COLOR,base/color/light/black-100a,#0000001A,#FFFFFF1A
system/color/text/200a,COLOR,base/color/light/black-200a,#00000033,#FFFFFF33
system/color/text/200a-2,COLOR,base/color/light/black-200a,#00000033,#FFFFFF1A
system/color/text/300a,COLOR,base/color/light/black-300a,#0000004D,#FFFFFF4D
system/color/text/400a,COLOR,base/color/light/black-400a,#00000080,#FFFFFF80
system/color/text/500a,COLOR,base/color/light/black-500a,#000000A6,#FFFFFFA6
system/color/text/600a,COLOR,base/color/light/black-600a,#000000CC,#FFFFFFCC
system/color/text/black-same,COLOR,base/color/light/black,#000000,#000000
system/color/text/white-same,COLOR,base/color/light/white,#FFFFFF,#FFFFFF
system/color/text/white-300a-same,COLOR,base/color/light/white-300a,#FFFFFF4D,#FFFFFF4D
system/color/text/white-400a-same,COLOR,base/color/light/white-400a,#FFFFFF80,#FFFFFF80
system/color/text/white-500a-same,COLOR,base/color/light/white-500a,#FFFFFFA6,#FFFFFFA6
system/color/text/white-700a-same,COLOR,base/color/light/white-700a,#FFFFFFE5,#FFFFFFE5
system/color/text/default-reverse-200a,COLOR,base/color/light/white-200a,#FFFFFF33,#00000033
system/color/divide/gray-50,COLOR,base/color/light/coolgray-50,#F7F8FA,#161616
system/color/divide/gray-75,COLOR,base/color/light/coolgray-75,#F2F3F7,#1F1F1F
system/color/divide/gray-100,COLOR,base/color/light/coolgray-100,#EBEDF2,#282828
system/color/divide/gray-200,COLOR,base/color/light/coolgray-200,#DCDEE4,#333333
system/color/divide/gray-300,COLOR,base/color/light/coolgray-300,#C8CAD1,#3E3E3E
system/color/divide/white-300a-same,COLOR,base/color/light/white-300a,#FFFFFF4D,#FFFFFF4D
system/color/divide/white-500a-same,COLOR,base/color/light/white-500a,#FFFFFFA6,#FFFFFFA6
system/color/outline/default,COLOR,base/color/light/black,#000000,#FFFFFF
system/color/outline/default-reverse,COLOR,base/color/light/white,#FFFFFF,#000000
system/color/outline/gray-100,COLOR,base/color/light/coolgray-100,#EBEDF2,#282828
system/color/outline/gray-200,COLOR,base/color/light/coolgray-200,#DCDEE4,#333333
system/color/outline/gray-400,COLOR,base/color/light/coolgray-400,#AEB1B8,#555555
system/color/outline/default-50a,COLOR,base/color/light/black-50a,#0000000A,#FFFFFF0D
system/color/outline/default-50a-2,COLOR,base/color/light/black-50a,#0000000A,#FFFFFF1A
system/color/outline/default-100a,COLOR,base/color/light/black-100a,#0000001A,#FFFFFF1A
system/color/outline/default-200a,COLOR,base/color/light/black-200a,#00000033,#FFFFFF33
system/color/outline/default-300a,COLOR,base/color/light/black-300a,#0000004D,#FFFFFF4D
system/color/divide/default-50a,COLOR,base/color/light/black-50a,#0000000A,#FFFFFF0D
system/color/divide/default-50a-2,COLOR,base/color/light/black-50a,#0000000A,#FFFFFF1A
system/color/divide/default-100a,COLOR,base/color/light/black-100a,#0000001A,#FFFFFF1A
system/color/divide/default-200a,COLOR,base/color/light/black-200a,#00000033,#FFFFFF33
system/color/divide/default-300a,COLOR,base/color/light/black-300a,#0000004D,#FFFFFF4D
system/color/divide/default-reverse-50a,COLOR,base/color/light/white-50a,#FFFFFF0D,#0000000A
system/color/divide/default-reverse-100a,COLOR,base/color/light/white-100a,#FFFFFF1A,#0000001A
system/color/divide/default-reverse-200a,COLOR,base/color/light/white-200a,#FFFFFF33,#00000033
system/color/divide/default-reverse-300a,COLOR,base/color/light/white-300a,#FFFFFF4D,#0000004D
system/color/outline/default-reverse-50a,COLOR,base/color/light/white-50a,#FFFFFF0D,#0000000A
system/color/outline/default-reverse-100a,COLOR,base/color/light/white-100a,#FFFFFF1A,#0000001A
system/color/outline/default-reverse-200a,COLOR,base/color/light/white-200a,#FFFFFF33,#00000033
system/color/outline/default-reverse-300a,COLOR,base/color/light/white-300a,#FFFFFF4D,#0000004D
system/color/roles/secondary-blue,COLOR,base/color/light/blue-500,#5989FE,#5989FE
system/color/roles/secondary-green,COLOR,base/color/light/green-500,#00CC96,#00CC96
system/color/roles/secondary-purple,COLOR,base/color/light/purple-500,#B864FA,#B864FA
system/color/roles/secondary-pink,COLOR,base/color/light/pink-500,#F562C6,#F562C6
system/color/roles/accent-primary,COLOR,base/color/light/mint-500,#00CBD5,#01D5DF
system/color/roles/accent-blue,COLOR,base/color/light/blue-500,#5989FE,#5989FE
system/color/roles/negative,COLOR,base/color/light/red-500,#FE5B58,#FE5B58
system/color/roles/brand-mint,COLOR,base/color/light/mint-500,#00CBD5,#01D5DF
system/color/dm/point-mint,COLOR,base/color/light/mint-500,#00CBD5,#01D5DF
system/color/dm/point-black,COLOR,base/color/light/mint-500,#00CBD5,#01D5DF
system/color/dm/speech-bubble-mint,COLOR,base/color/light/mint-100,#BBF3F6,#006166
system/size/padding/box/negative-100,FLOAT,base/size/negative-100,-8,-8
system/fixed_color/roles/primary,COLOR,base/color/dark/mint-500,#01D5DF,#01D5DF
system/fixed_color/roles/secondary-blue,COLOR,base/color/dark/blue-500,#5989FE,#5989FE
system/size/padding/box/negative-75,FLOAT,base/size/negative-75,-6,-6
system/fixed_color/roles/secondary-green,COLOR,base/color/dark/green-500,#00CC96,#00CC96
system/size/padding/box/negative-50,FLOAT,base/size/negative-50,-4,-4
system/fixed_color/roles/secondary-purple,COLOR,base/color/dark/purple-500,#B864FA,#B864FA
system/size/padding/box/negative-25,FLOAT,base/size/negative-25,-2,0
system/fixed_color/roles/secondary-pink,COLOR,base/color/dark/pink-500,#F562C6,#F562C6
system/fixed_color/roles/accent-primary,COLOR,base/color/dark/mint-500,#01D5DF,#01D5DF
system/fixed_color/roles/accent-blue,COLOR,base/color/dark/blue-500,#5989FE,#5989FE
system/fixed_color/roles/negative,COLOR,base/color/dark/red-500,#FE5B58,#FE5B58
system/fixed_color/roles/brand-mint,COLOR,base/color/dark/mint-500,#01D5DF,#01D5DF
system/fixed_color/roles/membership-malachite-green,COLOR,base/color/light/brand-malachite-green,#1BBD49,#1BBD49
system/fixed_color/roles/membership-lavender,COLOR,base/color/light/brand-lavender,#A74EFF,#A74EFF
system/fixed_color/roles/membership-cornflower-blue,COLOR,base/color/light/brand-cornflower-blue,#36A3DF,#36A3DF
system/fixed_color/status/active-primary,COLOR,base/color/dark/mint-500,#01D5DF,#01D5DF
system/fixed_color/status/hover-primary,COLOR,base/color/dark/mint-600,#37DEE5,#37DEE5
system/fixed_color/status/inactive-primary,COLOR,base/color/dark/mint-200,#008A91,#008A91
system/fixed_color/status/active-blue,COLOR,base/color/dark/blue-500,#5989FE,#5989FE
system/fixed_color/status/hover-blue,COLOR,base/color/dark/blue-700,#95B3FE,#95B3FE
system/fixed_color/status/inactive-blue,COLOR,base/color/dark/blue-200,#37549D,#37549D
system/fixed_color/status/active-gray-900,COLOR,base/color/dark/gray-900,#F4F4F4,#F4F4F4
system/fixed_color/status/focus-gray-400,COLOR,base/color/dark/gray-400,#555555,#555555
system/fixed_color/status/active-gray-75,COLOR,base/color/dark/coolgray-75,#1D1F25,#1D1F25
system/fixed_color/status/inactive-gray,COLOR,base/color/dark/gray-300,#3E3E3E,#3E3E3E
system/fixed_color/status/danger-red,COLOR,base/color/dark/red-500,#FE5B58,#FE5B58
system/fixed_color/status/background-default,COLOR,base/color/dark/black,#000000,#000000
system/fixed_color/status/background-disabled,COLOR,base/color/dark/gray-75,#1F1F1F,#1F1F1F
system/fixed_color/surface/default-reverse,COLOR,base/color/dark/white,#FFFFFF,#FFFFFF
system/fixed_color/surface/default,COLOR,base/color/dark/black,#000000,#000000
system/fixed_color/surface/default-2,COLOR,base/color/dark/gray-50,#161616,#161616
system/fixed_color/surface/default-3,COLOR,base/color/dark/gray-75,#1F1F1F,#1F1F1F
system/fixed_color/surface/default-4,COLOR,base/color/dark/gray-100,#282828,#282828
system/fixed_color/surface/default-gray-50,COLOR,base/color/dark/gray-50,#161616,#161616
system/fixed_color/surface/default-gray-50-same,COLOR,base/color/light/coolgray-50,#F7F8FA,#F7F8FA
system/fixed_color/surface/gray-75,COLOR,base/color/dark/gray-75,#1F1F1F,#1F1F1F
system/fixed_color/surface/gray-100,COLOR,base/color/dark/gray-100,#282828,#282828
system/fixed_color/surface/gray-200,COLOR,base/color/dark/gray-200,#333333,#333333
system/fixed_color/surface/gray-300,COLOR,base/color/dark/gray-300,#3E3E3E,#3E3E3E
system/fixed_color/surface/gray-900,COLOR,base/color/dark/gray-900,#F4F4F4,#F4F4F4
system/fixed_color/surface/coolgray-50,COLOR,base/color/dark/coolgray-50,#14161C,#14161C
system/fixed_color/surface/coolgray-200,COLOR,base/color/dark/coolgray-200,#31333A,#31333A
system/fixed_color/surface/default-reverse-0a,COLOR,base/color/dark/white-0a,#FFFFFF00,#FFFFFF00
system/fixed_color/surface/default-reverse-50a,COLOR,base/color/dark/white-50a,#FFFFFF0D,#FFFFFF0D
system/fixed_color/surface/default-reverse-100a,COLOR,base/color/dark/white-100a,#FFFFFF1A,#FFFFFF1A
system/fixed_color/surface/default-reverse-200a,COLOR,base/color/dark/white-200a,#FFFFFF33,#FFFFFF33
system/fixed_color/surface/default-reverse-300a,COLOR,base/color/dark/white-300a,#FFFFFF4D,#FFFFFF4D
system/fixed_color/surface/black-same,COLOR,base/color/dark/black,#000000,#000000
system/fixed_color/surface/black-200a-same,COLOR,base/color/dark/black-200a,#00000033,#00000033
system/fixed_color/surface/black-400a-same,COLOR,base/color/dark/black-400a,#00000080,#00000080
system/fixed_color/surface/black-600a-same,COLOR,base/color/dark/black-600a,#000000CC,#000000CC
system/fixed_color/surface/default-0a,COLOR,base/color/dark/black-0a,#00000000,#00000000
system/fixed_color/surface/default-50a,COLOR,base/color/dark/black-50a,#0000000A,#0000000A
system/fixed_color/surface/default-100a,COLOR,base/color/dark/black-100a,#0000001A,#0000001A
system/fixed_color/surface/default-200a,COLOR,base/color/dark/black-200a,#00000033,#00000033
system/fixed_color/surface/default-300a,COLOR,base/color/dark/black-300a,#0000004D,#0000004D
system/fixed_color/surface/default-400a,COLOR,base/color/dark/black-400a,#00000080,#00000080
system/fixed_color/surface/default-500a,COLOR,base/color/dark/black-500a,#000000A6,#000000A6
system/fixed_color/surface/default-600a,COLOR,base/color/dark/black-600a,#000000CC,#000000CC
system/fixed_color/surface/default-800a,COLOR,base/color/dark/black-800a,#000000F7,#000000F7
system/fixed_color/surface/white-same,COLOR,base/color/dark/white,#FFFFFF,#FFFFFF
system/fixed_color/surface/white-50a-same,COLOR,base/color/dark/white-50a,#FFFFFF0D,#FFFFFF0D
system/fixed_color/surface/white-100a-same,COLOR,base/color/dark/white-100a,#FFFFFF1A,#FFFFFF1A
system/fixed_color/surface/white-200a-same,COLOR,base/color/dark/white-200a,#FFFFFF33,#FFFFFF33
system/fixed_color/surface/white-300a-same,COLOR,base/color/dark/white-300a,#FFFFFF4D,#FFFFFF4D
system/fixed_color/surface/white-500a-same,COLOR,base/color/dark/white-500a,#FFFFFFA6,#FFFFFFA6
system/fixed_color/surface/primary,COLOR,base/color/dark/mint-50,#003639,#003639
system/fixed_color/surface/primary-100,COLOR,base/color/dark/mint-100,#006166,#006166
system/fixed_color/surface/green,COLOR,base/color/dark/green-50,#003324,#003324
system/fixed_color/surface/green-100,COLOR,base/color/dark/green-100,#004D36,#004D36
system/fixed_color/surface/blue,COLOR,base/color/dark/blue-50,#15203C,#15203C
system/fixed_color/surface/blue-100,COLOR,base/color/dark/blue-100,#2A4178,#2A4178
system/fixed_color/surface/purple,COLOR,base/color/dark/purple-50,#301541,#301541
system/fixed_color/surface/purple-100,COLOR,base/color/dark/purple-100,#4A2164,#4A2164
system/fixed_color/surface/pink,COLOR,base/color/dark/pink-50,#3E1332,#3E1332
system/fixed_color/surface/pink-100,COLOR,base/color/dark/pink-100,#551B44,#551B44
system/fixed_color/surface/red,COLOR,base/color/dark/red-50,#3C1514,#3C1514
system/fixed_color/surface/red-100,COLOR,base/color/dark/red-100,#782B29,#782B29
system/fixed_color/icon/primary,COLOR,base/color/dark/mint-500,#01D5DF,#01D5DF
system/fixed_color/icon/default,COLOR,base/color/dark/white,#FFFFFF,#FFFFFF
system/fixed_color/icon/default-reverse,COLOR,base/color/dark/black,#000000,#000000
system/fixed_color/icon/gray-100,COLOR,base/color/dark/gray-100,#282828,#282828
system/fixed_color/icon/gray-300,COLOR,base/color/dark/gray-300,#3E3E3E,#3E3E3E
system/fixed_color/icon/gray-400,COLOR,base/color/dark/gray-400,#555555,#555555
system/fixed_color/icon/gray-500,COLOR,base/color/dark/gray-500,#777777,#777777
system/fixed_color/icon/gray-600,COLOR,base/color/dark/gray-600,#999999,#999999
system/fixed_color/icon/gray-700,COLOR,base/color/dark/gray-700,#BBBBBB,#BBBBBB
system/fixed_color/icon/gray-800,COLOR,base/color/dark/gray-800,#DDDDDD,#DDDDDD
system/fixed_color/icon/gray-900,COLOR,base/color/dark/gray-900,#F4F4F4,#F4F4F4
system/fixed_color/icon/100a,COLOR,base/color/dark/white-100a,#FFFFFF1A,#FFFFFF1A
system/fixed_color/icon/200a,COLOR,base/color/dark/white-200a,#FFFFFF33,#FFFFFF33
system/fixed_color/icon/300a,COLOR,base/color/dark/white-300a,#FFFFFF4D,#FFFFFF4D
system/fixed_color/icon/400a,COLOR,base/color/dark/white-400a,#FFFFFF80,#FFFFFF80
system/fixed_color/icon/500a,COLOR,base/color/dark/white-500a,#FFFFFFA6,#FFFFFFA6
system/fixed_color/icon/600a,COLOR,base/color/dark/white-600a,#FFFFFFCC,#FFFFFFCC
system/fixed_color/icon/700a,COLOR,base/color/dark/white-700a,#FFFFFFE5,#FFFFFFE5
system/fixed_color/icon/black-same,COLOR,base/color/dark/black,#000000,#000000
system/fixed_color/icon/black-200a-same,COLOR,base/color/dark/black-200a,#00000033,#00000033
system/fixed_color/icon/black-400a-same,COLOR,base/color/dark/black-400a,#00000080,#00000080
system/fixed_color/icon/black-500a-same,COLOR,base/color/dark/black-500a,#000000A6,#000000A6
system/fixed_color/icon/black-600a-same,COLOR,base/color/dark/black-600a,#000000CC,#000000CC
system/fixed_color/icon/white-same,COLOR,base/color/dark/white,#FFFFFF,#FFFFFF
system/fixed_color/icon/white-300a-same,COLOR,base/color/dark/white-300a,#FFFFFF4D,#FFFFFF4D
system/fixed_color/icon/white-400a-same,COLOR,base/color/dark/white-400a,#FFFFFF80,#FFFFFF80
system/fixed_color/icon/white-500a-same,COLOR,base/color/dark/white-500a,#FFFFFFA6,#FFFFFFA6
system/fixed_color/icon/white-600a-same,COLOR,base/color/dark/white-600a,#FFFFFFCC,#FFFFFFCC
system/fixed_color/text/primary,COLOR,base/color/dark/mint-500,#01D5DF,#01D5DF
system/fixed_color/text/red-accent,COLOR,base/color/dark/red-point,#FF1744,#FF1744
system/fixed_color/text/default,COLOR,base/color/dark/white,#FFFFFF,#FFFFFF
system/fixed_color/text/default-reverse,COLOR,base/color/dark/black,#000000,#000000
system/fixed_color/text/gray-100,COLOR,base/color/dark/gray-100,#282828,#282828
system/fixed_color/text/gray-300,COLOR,base/color/dark/gray-300,#3E3E3E,#3E3E3E
system/fixed_color/text/gray-400,COLOR,base/color/dark/gray-400,#555555,#555555
system/fixed_color/text/gray-500,COLOR,base/color/dark/gray-500,#777777,#777777
system/fixed_color/text/gray-600,COLOR,base/color/dark/gray-600,#999999,#999999
system/fixed_color/text/gray-700,COLOR,base/color/dark/gray-700,#BBBBBB,#BBBBBB
system/fixed_color/text/gray-800,COLOR,base/color/dark/gray-800,#DDDDDD,#DDDDDD
system/fixed_color/text/gray-900,COLOR,base/color/dark/gray-900,#F4F4F4,#F4F4F4
system/fixed_color/text/100a,COLOR,base/color/dark/white-100a,#FFFFFF1A,#FFFFFF1A
system/fixed_color/text/200a,COLOR,base/color/dark/white-200a,#FFFFFF33,#FFFFFF33
system/fixed_color/text/300a,COLOR,base/color/dark/white-300a,#FFFFFF4D,#FFFFFF4D
system/fixed_color/text/400a,COLOR,base/color/dark/white-400a,#FFFFFF80,#FFFFFF80
system/fixed_color/text/500a,COLOR,base/color/dark/white-500a,#FFFFFFA6,#FFFFFFA6
system/fixed_color/text/600a,COLOR,base/color/dark/white-600a,#FFFFFFCC,#FFFFFFCC
system/fixed_color/text/black-same,COLOR,base/color/dark/black,#000000,#000000
system/fixed_color/text/white-same,COLOR,base/color/dark/white,#FFFFFF,#FFFFFF
system/fixed_color/text/white-300a-same,COLOR,base/color/dark/white-300a,#FFFFFF4D,#FFFFFF4D
system/fixed_color/text/white-400a-same,COLOR,base/color/dark/white-400a,#FFFFFF80,#FFFFFF80
system/fixed_color/text/white-500a-same,COLOR,base/color/dark/white-500a,#FFFFFFA6,#FFFFFFA6
system/fixed_color/text/white-700a-same,COLOR,base/color/dark/white-700a,#FFFFFFE5,#FFFFFFE5
system/fixed_color/text/default-reverse-200a,COLOR,base/color/dark/black-200a,#00000033,#00000033
system/fixed_color/divide/gray-50,COLOR,base/color/dark/gray-50,#161616,#161616
system/fixed_color/divide/gray-75,COLOR,base/color/dark/gray-75,#1F1F1F,#1F1F1F
system/fixed_color/divide/gray-100,COLOR,base/color/dark/gray-100,#282828,#282828
system/fixed_color/divide/gray-200,COLOR,base/color/dark/gray-200,#333333,#333333
system/fixed_color/divide/gray-300,COLOR,base/color/dark/gray-300,#3E3E3E,#3E3E3E
system/fixed_color/divide/white-300a-same,COLOR,base/color/dark/white-300a,#FFFFFF4D,#FFFFFF4D
system/fixed_color/divide/white-500a-same,COLOR,base/color/dark/white-500a,#FFFFFFA6,#FFFFFFA6
system/fixed_color/divide/default-50a,COLOR,base/color/dark/white-50a,#FFFFFF0D,#FFFFFF0D
system/fixed_color/divide/default-100a,COLOR,base/color/dark/white-100a,#FFFFFF1A,#FFFFFF1A
system/fixed_color/divide/default-200a,COLOR,base/color/dark/white-200a,#FFFFFF33,#FFFFFF33
system/fixed_color/divide/default-300a,COLOR,base/color/dark/white-300a,#FFFFFF4D,#FFFFFF4D
system/fixed_color/divide/default-reverse-50a,COLOR,base/color/dark/black-50a,#0000000A,#0000000A
system/fixed_color/outline/default,COLOR,base/color/dark/white,#FFFFFF,#FFFFFF
system/fixed_color/outline/default-reverse,COLOR,base/color/dark/black,#000000,#000000
system/fixed_color/outline/gray-200,COLOR,base/color/dark/gray-200,#333333,#333333
system/fixed_color/outline/gray-300,COLOR,base/color/dark/gray-300,#3E3E3E,#3E3E3E
system/fixed_color/outline/gray-400,COLOR,base/color/dark/gray-400,#555555,#555555
