"기준일자","아티스트","국가명","권역명","방문자수","적극활동유저수","적극활동유저비율","미디어조회유저","미디어조회유저비율","미디어반응유저수","미디어반응유저비율","팬레터작성유저수","팬레터작성유저비율","포스트작성유저수","포스트작성유저비율","포스트반응유저수","포스트반응유저비율","포스트&팬레터반응유저수","포스트&팬레터반응유저비율"
"2026-02-01","TOTAL","TOTAL","OCEANIA","74770.0","47810.0","0.6394275779055771","44196.0","0.9244091194310814","7788.0","0.16289479188454298","1087.0","0.02273582932440912","4215.0","0.08816147249529387","20404.0","0.4267726417067559","21118.0","0.4417067559088057"
"2026-02-01","TOTAL","TOTAL","Canada","93891.0","63547.0","0.676816734298282","59147.0","0.9307599099878829","9856.0","0.15509780162714212","1255.0","0.01974916203754701","5641.0","0.08876894267235275","26628.0","0.41902843564605724","27593.0","0.434214046296442"
"2026-02-01","TOTAL","TOTAL","AFRICA","90269.0","64316.0","0.7124926608248678","58092.0","0.9032278126749176","14080.0","0.2189190870078985","2200.0","0.03420610734498414","5638.0","0.08766092418682754","31751.0","0.4936718701411779","32658.0","0.5077741153056782"
"2026-02-01","TOTAL","TOTAL","MIDDLE EAST","229923.0","171560.0","0.7461628458222971","156722.0","0.9135113079972021","34140.0","0.19899743529960365","4149.0","0.024183958964793657","16241.0","0.09466658894847284","88023.0","0.513074143156913","89869.0","0.5238342270925623"
"2026-02-01","TOTAL","TOTAL","Philippines","395439.0","267759.0","0.67711834189344","231082.0","0.8630223447204389","56092.0","0.2094868893295837","8005.0","0.02989628733301215","30706.0","0.11467775126139551","154336.0","0.576398925899783","158951.0","0.5936345743747176"
"2026-02-01","TOTAL","TOTAL","Brazil","400604.0","305900.0","0.7635969685774481","280416.0","0.9166917293233082","69520.0","0.22726381170317098","11383.0","0.037211507028440664","29778.0","0.09734553775743707","166600.0","0.5446224256292906","170919.0","0.5587414187643021"
"2026-02-01","TOTAL","TOTAL","Mexico","521236.0","379474.0","0.7280272275898058","352918.0","0.9300189209273889","94360.0","0.24865998724550298","10688.0","0.028165302497667823","31036.0","0.08178689449079515","198258.0","0.5224547663344524","203011.0","0.5349799986296822"
"2026-02-01","TOTAL","TOTAL","India","584415.0","463150.0","0.7925019036130148","417605.0","0.9016625283385512","121081.0","0.26142934254561156","22949.0","0.049549821871963724","66203.0","0.1429407319442945","275116.0","0.5940105797257907","283266.0","0.6116074705818849"
"2026-02-01","TOTAL","TOTAL","Other LAC","742966.0","541136.0","0.7283455770519781","498962.0","0.9220639543478903","133888.0","0.2474202418615653","17348.0","0.03205848437361403","51347.0","0.09488742201590727","296211.0","0.547387348097336","303478.0","0.5608165045386003"
"2026-02-01","TOTAL","TOTAL","U.S.A","859420.0","590854.0","0.6875031998324451","549332.0","0.929725448249483","97302.0","0.16468027634576393","13942.0","0.02359635375236522","54210.0","0.0917485537882455","246399.0","0.41702180234034125","255936.0","0.4331628456437631"
